%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-08-12 10:15:00,2023-08-12,2023-08-12,10:15:00,12.08.2023 10:15,TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),FC Vrchlabí (4),D,1 : 3 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Dvůr Králové nad Labem,
2023-08-12 13:30:00,2023-08-12,2023-08-12,13:30:00,12.08.2023 13:30,TJ Lánov (7),FK Jaroměř (3),V,4 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Lánov,
2023-08-23 17:30:00,2023-08-23,2023-08-23,17:30:00,23.08.2023 17:30,FC Spartak Rychnov nad Kněžnou (8),SK Týniště nad Orlicí (5),V,2 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Rychnov nad Kněžnou,
2023-09-20 16:45:00,2023-09-20,2023-09-20,16:45:00,20.09.2023 16:45,RMSK Cidlina Nový Bydžov B (1),FC Nový Hradec Králové (2),V,3 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Kunčice,
2023-08-19 10:00:00,2023-08-19,2023-08-19,10:00:00,19.08.2023 10:00,SK Týniště nad Orlicí (5),TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),V,1 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Týniště - Olšina,
2023-08-19 13:30:00,2023-08-19,2023-08-19,13:30:00,19.08.2023 13:30,FK Jaroměř (3),RMSK Cidlina Nový Bydžov B (1),V,4 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Jaroměř,
2023-08-30 17:30:00,2023-08-30,2023-08-30,17:30:00,30.08.2023 17:30,FC Nový Hradec Králové (2),FC Spartak Rychnov nad Kněžnou (8),V,3 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Nový HK,
2023-09-13 17:30:00,2023-09-13,2023-09-13,17:30:00,13.09.2023 17:30,FC Vrchlabí (4),TJ Lánov (7),V,3 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Vrchlabí,
2023-08-26 09:30:00,2023-08-26,2023-08-26,09:30:00,26.08.2023 09:30,FC Spartak Rychnov nad Kněžnou (8),TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),V,5 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Rychnov nad Kněžnou,
2023-08-26 13:30:00,2023-08-26,2023-08-26,13:30:00,26.08.2023 13:30,TJ Lánov (7),SK Týniště nad Orlicí (5),V,4 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Lánov,
2023-08-26 13:30:00,2023-08-26,2023-08-26,13:30:00,26.08.2023 13:30,FC Nový Hradec Králové (2),FK Jaroměř (3),V,2 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Nový HK,
2023-08-26 14:30:00,2023-08-26,2023-08-26,14:30:00,26.08.2023 14:30,RMSK Cidlina Nový Bydžov B (1),FC Vrchlabí (4),V,2 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Kunčice,
2023-09-02 10:00:00,2023-09-02,2023-09-02,10:00:00,02.09.2023 10:00,SK Týniště nad Orlicí (5),RMSK Cidlina Nový Bydžov B (1),V,1 : 3 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Týniště - atletický stadion,
